idVuelo;idIncidente;crsDepTime;crsArrTime;arrTime;cancelled;diverted;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport
403;198;1100;1449;1532;0;0;0;0;43;0;0;;;
406;199;1345;1627;1635;0;0;0;0;0;0;0;;;
410;200;650;905;906;0;0;0;0;0;0;0;;;
411;201;1033;1212;1219;0;0;0;0;0;0;0;;;
412;202;1414;1523;1526;0;0;0;0;0;0;0;;;
413;203;810;953;1005;0;0;0;0;0;0;0;;;
414;204;1310;1410;1413;0;0;0;0;0;0;0;;;
418;205;535;635;636;0;0;0;0;0;0;0;;;
424;206;945;1229;1236;0;0;0;0;0;0;0;;;
426;207;1500;1747;1755;0;0;0;0;0;0;0;;;
427;208;1125;1403;1423;0;0;0;0;20;0;0;;;
428;209;615;800;819;0;0;0;0;19;0;0;;;
429;210;1525;1802;1825;0;0;0;0;23;0;0;;;
433;211;1740;1852;1859;0;0;0;0;0;0;0;;;
434;212;1805;1923;1928;0;0;0;0;0;0;0;;;
437;213;647;802;809;0;0;0;0;0;0;0;;;
439;214;1205;1347;1416;0;0;2;0;9;0;18;;;
440;215;855;1132;1158;0;0;0;0;26;0;0;;;
441;216;755;904;911;0;0;0;0;0;0;0;;;
442;217;1925;2159;2203;0;0;0;0;0;0;0;;;
443;218;600;1139;1148;0;0;0;0;0;0;0;;;
445;219;1310;1407;1414;0;0;0;0;0;0;0;;;
446;220;1457;1551;1603;0;0;0;0;0;0;0;;;
447;221;1040;1253;1256;0;0;0;0;0;0;0;;;
448;222;1025;1143;1215;0;0;4;0;0;0;28;;;
449;223;1300;2047;2307;0;0;0;0;140;0;0;;;
451;224;1115;1754;1810;0;0;0;0;16;0;0;;;
459;225;2120;2238;2247;0;0;0;0;0;0;0;;;
460;226;1310;1826;1913;0;0;0;0;47;0;0;;;
461;227;530;636;641;0;0;0;0;0;0;0;;;
462;228;1845;1949;1953;0;0;0;0;0;0;0;;;
463;229;720;1015;1034;0;0;0;0;19;0;0;;;
465;230;1755;2035;2048;0;0;0;0;0;0;0;;;
467;231;800;1000;1006;0;0;0;0;0;0;0;;;
469;232;610;1323;1329;0;0;0;0;0;0;0;;;
470;233;1330;1513;1548;0;0;0;0;0;0;35;;;
471;234;1645;1915;1926;0;0;0;0;0;0;0;;;
473;235;1250;1630;1931;0;0;0;0;181;0;0;;;
